Park Unit,Total Recreation Visits,Total Visitor Spending ($2022),Jobs,Economic Output ($2022)
Glacier Bay NP&PRESa,545758,"$223,677,000",2824,"$382,678,000"
Glacier NPa,2908458,"$367,589,000",5691,"$548,417,000"
Glen Canyon NRAa,2842776,"$300,543,000",3486,"$372,677,000"
Golden Gate NRAa,15638911,"$1,095,491,000",10432,"$1,524,345,000"
Golden Spike NHSa,49042,"$3,169,000",43,"$4,536,000"
Governors Island NM,44345,"$2,928,000",32,"$4,295,000"
Grand Canyon NPa,4732101,"$758,899,000",9991,"$1,010,477,000"
Grand Portage NM,93108,"$6,775,000",87,"$7,229,000"
"Grand Teton NPa,b",2806223,"$597,470,000",7608,"$757,041,000"
Grant-Kohrs Ranch NHS,24351,"$1,608,000",25,"$2,255,000"
Great Basin NP,142115,"$9,151,000",122,"$9,668,000"
"Great Sand Dunes NP&PRESa,b",493428,"$32,538,000",408,"$35,980,000"
"Great Smoky Mountains NPa,b",12937633,"$2,110,462,000",32590,"$3,262,390,000"
Greenbelt Pc,60800,"$4,365,000",52,"$6,326,000"
"Guadalupe Mountains NPa,b",219987,"$26,288,000",311,"$31,165,000"
Guilford Courthouse NMP,389057,"$25,690,000",374,"$37,627,000"
Gulf Islands NS,5685155,"$282,833,000",3655,"$367,005,000"
Hagerman Fossil Beds NM,25122,"$1,659,000",23,"$2,316,000"
Haleakala NP,1087616,"$78,419,000",764,"$98,412,000"
Hamilton Grange NMEM,45198,"$2,985,000",32,"$4,363,000"
Hampton NHS,12506,"$826,000",10,"$1,233,000"
Harpers Ferry NHPa,407008,"$22,339,000",302,"$35,369,000"
Harry S Truman NHS,21471,"$1,417,000",21,"$2,241,000"
Hawaii Volcanoes NP,1580961,"$148,615,000",1534,"$195,158,000"
Herbert Hoover NHS,103804,"$6,855,000",101,"$9,144,000"
Home Of Franklin D Roosevelt NHS,100665,"$6,648,000",78,"$9,409,000"
Homestead NMa,47614,"$1,802,000",24,"$2,097,000"
Hopewell Culture NHP,51850,"$3,424,000",50,"$5,216,000"
Hopewell Furnace NHS,57238,"$3,780,000",53,"$5,991,000"
Horseshoe Bend NMP,67773,"$4,475,000",68,"$6,203,000"
Hot Springs NP,2646133,"$191,724,000",2713,"$257,732,000"
Hovenweep NM,28446,"$2,028,000",26,"$2,482,000"
Hubbell Trading Post NHS,50017,"$3,302,000",45,"$3,914,000"
Independence NHP,2688302,"$177,513,000",2442,"$281,598,000"
Indiana Dunes NL,2834180,"$141,327,000",1685,"$208,509,000"
"Isle Royale NPa,b,c",25454,"$10,368,000",120,"$12,738,000"
James A Garfield NHSa,32173,"$1,305,000",19,"$2,019,000"
Jean Lafitte NP&PRES,269748,"$17,812,000",247,"$24,420,000"
Jewel Cave NM,119343,"$7,880,000",109,"$10,389,000"
Jimmy Carter NHS,35308,"$2,331,000",36,"$2,985,000"
John D Rockefeller Jr MEM PKWY,1091196,"$8,964,000",110,"$10,688,000"
John Day Fossil Beds NMa,165201,"$9,093,000",110,"$11,167,000"
John F Kennedy NHSc,100,"$7,000",0,"$10,000"
John Muir NHS,38878,"$2,567,000",27,"$3,601,000"
Johnstown Flood NMEMa,148142,"$10,354,000",156,"$15,872,000"
Joshua Tree NPa,3058294,"$171,013,000",2037,"$209,054,000"
Kalaupapa NHP,38771,"$2,560,000",26,"$3,300,000"
Kaloko-Honokohau NHP,291342,"$19,238,000",198,"$24,797,000"
Katahdin Woods and Waters NM,43231,"$3,097,000",41,"$3,960,000"
Katmai NP&PRESc,33908,"$55,973,000",785,"$83,763,000"
Kenai Fjords NP,389943,"$76,465,000",1320,"$116,680,000"
Kennesaw Mountain NBP,1322003,"$87,294,000",1272,"$137,541,000"
Keweenaw NHP,15255,"$1,007,000",14,"$1,123,000"
Kings Canyon NP,640986,"$60,732,000",776,"$78,599,000"
Kings Mountain NMPa,238656,"$10,809,000",149,"$15,573,000"
"Klondike Gold Rush AK NHPa,c",342909,"$57,411,000",869,"$74,813,000"
Klondike Gold Rush WA NHP,60423,"$3,990,000",42,"$5,490,000"
Knife River Indian Villages NHS,9217,"$609,000",8,"$787,000"
Kobuk Valley NP,16925,"$27,939,000",392,"$41,810,000"
"Korean War Veterans MEMa,b",4010009,"$112,205,000",1499,"$174,570,000"
Lake Chelan NRA,38207,"$3,047,000",30,"$4,074,000"
Lake Clark NP&PRESc,18187,"$30,024,000",421,"$44,930,000"
Lake Mead NRA,5578226,"$279,845,000",3021,"$342,944,000"
"Lake Meredith NRAa,b",1276717,"$31,286,000",240,"$22,364,000"
Lake Roosevelt NRA,1128725,"$56,623,000",649,"$70,394,000"
Lassen Volcanic NP,446291,"$30,014,000",371,"$35,786,000"
Lava Beds NMa,130969,"$6,448,000",74,"$7,208,000"
Lewis and Clark NHP,279924,"$18,484,000",242,"$27,315,000"
Lincoln Boyhood NMEMa,105819,"$5,649,000",87,"$8,210,000"
Lincoln Home NHSa,145144,"$9,926,000",138,"$13,211,000"
Lincoln MEM,7825397,"$166,756,000",2086,"$255,608,000"
Little Bighorn Battlefield NM,168433,"$11,121,000",163,"$14,679,000"
Little River Canyon NPRES,726239,"$47,955,000",707,"$65,582,000"
Little Rock Central High School NHS,92108,"$6,082,000",90,"$8,449,000"
Longfellow NHS,60558,"$3,998,000",50,"$6,094,000"
Lowell NHP,209284,"$13,819,000",173,"$21,041,000"
Lyndon B Johnson NHP,87386,"$5,770,000",85,"$8,718,000"
Lyndon Baines Johnson Memorial Grove on the Potomac NMEM,242325,"$16,000,000",197,"$23,697,000"
Maggie L Walker NHS,4815,"$318,000",5,"$454,000"
Mammoth Cave NP,663147,"$62,024,000",828,"$89,639,000"
Manassas NBP,532727,"$35,177,000",428,"$51,676,000"
Manhattan Project (New Mexico) NHP,9616,"$635,000",8,"$767,000"
Manhattan Project (Tennessee) NHP,10546,"$227,000",3,"$278,000"
Manhattan Project (Washington) NHPc,7103,"$264,000",3,"$303,000"
Manzanar NHSa,116843,"$13,903,000",164,"$17,296,000"
Marsh - Billings - Rockefeller NHP,63956,"$4,223,000",53,"$5,675,000"
Martin Luther King Jr NHSc,242789,"$16,032,000",233,"$25,307,000"
"Martin Luther King, Jr. MEM",3321897,"$70,789,000",885,"$108,507,000"
